Country Name;Country Code;Region;IncomeGroup;Year;Life Expectancy World Bank;Prevelance of Undernourishment;CO2;Health Expenditure %;Education Expenditure %;Unemployment;Injuries;Communicable;NonCommunicable
Sao Tome and Principe;STP;Sub-Saharan Africa;Lower middle income;2013;68,695;12,9;119,9999973;7,93743801;5,939690113;13,64900017;3761,59;23236,75;28865,32
Sao Tome and Principe;STP;Sub-Saharan Africa;Lower middle income;2014;69,052;13;119,9999973;6,73101854;3,749059916;13,70499992;4149;20123,09;30638,16
Sao Tome and Principe;STP;Sub-Saharan Africa;Lower middle income;2015;69,377;12,9;119,9999973;5,34009647;3,864599943;13,8210001;4162,92;19209,21;31084,18
Sao Tome and Principe;STP;Sub-Saharan Africa;Lower middle income;2016;69,67;12,9;129,9999952;6,43088818;5,173039913;13,89400005;4170,61;18418,71;31549,51
Sao Tome and Principe;STP;Sub-Saharan Africa;Lower middle income;2017;69,933;12,5;140,0000006;6,46091604;5,036369801;13,97399998;4243,95;17406,41;32227,24
Sao Tome and Principe;STP;Sub-Saharan Africa;Lower middle income;2018;70,17;12,8;140,0000006;5,84369802;5,235109806;14,06099987;4266,36;16675,36;32774,21
Sao Tome and Principe;STP;Sub-Saharan Africa;Lower middle income;2019;70,385;13;150,000006;5,52976227;5,921549797;14,14400005;4293,1;16170,29;33337,54
Samoa;WSM;East Asia & Pacific;Lower middle income;2001;69,103;3,5;160;3,93347454;3,826289892;4,960000038;6181,01;9353,72;35417,63
Samoa;WSM;East Asia & Pacific;Lower middle income;2002;69,451;3,5;170,0000018;4,64051867;3,841389894;5,096000195;6129,21;9144,3;35855,35
Samoa;WSM;East Asia & Pacific;Lower middle income;2008;71,158;4;170,0000018;4,65748072;5,144209862;5,580999851;5995,53;8678,45;38213,38
Belize;BLZ;Latin America & Caribbean;Upper middle income;2001;69,04;5,8;530;4,63241482;5,796929836;9,069999695;14723,49;19427,42;38687,31
Samoa;WSM;East Asia & Pacific;Lower middle income;2010;71,663;4,2;189,9999976;5,29189062;5,849999905;5,728000164;6176,83;8627,32;38898,3
Samoa;WSM;East Asia & Pacific;Lower middle income;2011;71,906;4,1;200,000003;5,4401269;6,610000134;5,679999828;6202,06;8637,94;39343,92
Samoa;WSM;East Asia & Pacific;Lower middle income;2012;72,136;4;200,000003;5,07944012;5,159999847;8,75;6966,62;8680,42;39794,95
Belize;BLZ;Latin America & Caribbean;Upper middle income;2003;69,511;5,5;509,9999905;4,62012959;5,248209953;10,23999977;13413,57;20078,23;40015,31
Samoa;WSM;East Asia & Pacific;Lower middle income;2013;72,351;3,7;200,000003;6,44957209;4,670000076;8,666999817;6312,04;8715,34;40239,28
Samoa;WSM;East Asia & Pacific;Lower middle income;2014;72,549;4,1;209,9999934;6,60753155;5,409999847;8,720000267;6364,5;8774,2;40766,81
Vanuatu;VUT;East Asia & Pacific;Lower middle income;2001;67,583;7,5;90;3,39338827;8,95114994;1,875;9316,87;27165,72;40980,94
Vanuatu;VUT;East Asia & Pacific;Lower middle income;2002;67,793;7,4;79,99999821;3,9043777;8,131979942;1,921000004;9122,65;29206,95;41071,56
Belize;BLZ;Latin America & Caribbean;Upper middle income;2004;69,749;5,5;439,9999976;4,48231363;5,33589983;10,58699989;13459,24;20210,67;41328,78
Samoa;WSM;East Asia & Pacific;Lower middle income;2015;72,73;4,4;239,9999946;5,78755045;4,857729912;8,501000404;6445,02;8806,61;41367,55
Vanuatu;VUT;East Asia & Pacific;Lower middle income;2003;67,99;7,2;90,00000358;3,50691938;8,441510201;1,738000035;9029,13;30743,31;41554,31
Samoa;WSM;East Asia & Pacific;Lower middle income;2016;72,895;4,7;300,0000119;5,4250021;4,164060116;8,30700016;6538,85;8838,61;41984,04
Samoa;WSM;East Asia & Pacific;Lower middle income;2017;73,046;4,6;310,0000024;5,56750727;4,183159828;8,578000069;6621,84;8848,15;42609,98
Samoa;WSM;East Asia & Pacific;Lower middle income;2018;73,187;4,5;289,9999917;5,47191095;4,532149792;8,68599987;6710,32;8783,21;43300,48
Samoa;WSM;East Asia & Pacific;Lower middle income;2019;73,321;4,4;300,0000119;6,36309385;4,706250191;8,406000137;6652,84;9095,19;43798,62
Belize;BLZ;Latin America & Caribbean;Upper middle income;2008;71,059;7,1;500;5,68234491;5,772630215;8,180000305;15080,95;18511,18;45856,58
Belize;BLZ;Latin America & Caribbean;Upper middle income;2009;71,541;6,9;1460,000038;5,85314894;6,178170204;8,25;15200,84;19132,25;47465,46
Belize;BLZ;Latin America & Caribbean;Upper middle income;2010;72,057;6,5;560,0000024;5,68149519;6,719759941;8,241999626;16005,67;19343,98;49514,06
Vanuatu;VUT;East Asia & Pacific;Lower middle income;2008;68,824;5,9;100,0000015;3,13810229;5,951509953;1,751000047;10623,81;28659,7;51265,34
Vanuatu;VUT;East Asia & Pacific;Lower middle income;2009;68,974;6,1;129,9999952;3,25197911;5,160510063;1,807999969;10802,66;28748,08;52843,31
Belize;BLZ;Latin America & Caribbean;Upper middle income;2013;73,452;7,4;460,0000083;5,65393209;6,425370216;8,350000381;16645,07;19096,44;54208,74
Iceland;ISL;Europe & Central Asia;High income;2001;80,6902439;2,5;2160;8,78546429;6,705920219;1,870000005;6372,43;3218,11;55518,22
Iceland;ISL;Europe & Central Asia;High income;2002;80,50243902;2,5;2240,00001;9,46551323;7,298920155;2,99000001;6192,59;3167,78;56104,08
Iceland;ISL;Europe & Central Asia;High income;2003;80,96341463;2,5;2230,000019;9,72930241;7,245079994;4;6133,1;3148,46;56283,62
Belize;BLZ;Latin America & Caribbean;Upper middle income;2014;73,782;7,7;479,9999893;6,19277191;6,614689827;8,239999771;16724,44;19714,49;56416,36
Iceland;ISL;Europe & Central Asia;High income;2004;80,99756098;2,5;2319,999933;9,32854366;7,161180019;4,03000021;6202,93;3132,88;56652,89
Iceland;ISL;Europe & Central Asia;High income;2005;81,50243902;2,5;2289,999962;8,94695091;7,338439941;2,549999952;6160,82;3169,09;57362,63
Iceland;ISL;Europe & Central Asia;High income;2006;81,15853659;2,5;2329,999924;8,55709076;7,195219994;2,829999924;6284,33;3179,2;58411,91
Belize;BLZ;Latin America & Caribbean;Upper middle income;2015;74,034;7,8;680,0000072;5,9350915;6,870150089;7,579999924;17372,57;20249,17;58533,04
Iceland;ISL;Europe & Central Asia;High income;2007;81,45365854;2,5;2380,000114;8,3535862;6,944330215;2,25;6317,37;3222,46;59294,44
Iceland;ISL;Europe & Central Asia;High income;2008;81,6097561;2,5;2180,000067;8,34370804;7,036019802;2,950000048;6353,42;3268,01;59808,99
Iceland;ISL;Europe & Central Asia;High income;2009;81,75121951;2,5;2109,999895;8,77518463;7,189849854;7,21999979;6369,72;3254,51;60389,39
Iceland;ISL;Europe & Central Asia;High income;2010;81,89756098;2,5;1960,000038;8,36173058;6,944240093;7,559999943;6325,92;3224,28;60654,82
Belize;BLZ;Latin America & Caribbean;Upper middle income;2016;74,219;7,2;649,9999762;6,14959431;7,29365015;7;18388,07;19817,56;60684,09
Barbados;BRB;Latin America & Caribbean;High income;2001;77,362;6,4;1310;5,52529192;6,055369854;9,850000381;6656,3;11832,75;60831,22
Iceland;ISL;Europe & Central Asia;High income;2011;82,35853659;2,5;1889,999986;8,20293236;6,789979935;7,03000021;6289,11;3177,02;60951,92
Vanuatu;VUT;East Asia & Pacific;Lower middle income;2014;69,719;8,8;159,9999964;3,64668846;5,181950092;1,807999969;12370,1;26451,3;61338,91
Iceland;ISL;Europe & Central Asia;High income;2012;82,91707317;2,5;1860,000014;8,18118858;7,582230091;6;6308,69;3168,51;61482,98
Iceland;ISL;Europe & Central Asia;High income;2014;82,86097561;2,5;2049,999952;8,22888947;7,641409874;4,900000095;6238,05;3144,46;61639,13
Iceland;ISL;Europe & Central Asia;High income;2013;82,06097561;2,5;2029,999971;8,17555237;7,448689938;5,380000114;6305,56;3171,86;61789,42
Barbados;BRB;Latin America & Caribbean;High income;2002;77,534;6,2;1370,000005;5,86123419;5,880620003;10,31999969;6726,88;11384,8;62555,28
Iceland;ISL;Europe & Central Asia;High income;2015;82,46829268;2,5;2059,999943;8,06978989;7,457970142;3,980000019;6323,28;3183,49;62691,82
Belize;BLZ;Latin America & Caribbean;Upper middle income;2017;74,365;7;639,9999857;5,79241371;7,45028019;6,599999905;18992,66;19676,22;62813,22
Vanuatu;VUT;East Asia & Pacific;Lower middle income;2015;69,869;10,3;140,0000006;4,32168341;5,603380203;1,861999989;12433,06;26435,49;62843,49
Iceland;ISL;Europe & Central Asia;High income;2016;82,20487805;2,5;1629,999995;8,09714699;7,432199955;2,980000019;6494,55;3226,83;63722,14
Barbados;BRB;Latin America & Caribbean;High income;2003;77,682;6,7;1379,999995;6,68377304;6,245699883;11;7021,72;10927,34;64271,83
Iceland;ISL;Europe & Central Asia;High income;2017;82,66097561;2,5;1669,999957;8,30908108;7,583859921;2,74000001;6705,44;3290,42;64831
Barbados;BRB;Latin America & Caribbean;High income;2004;77,808;6,2;1360,000014;7,31510305;6,024280071;9,569999695;7136,88;10755,38;65095,3
Barbados;BRB;Latin America & Caribbean;High income;2005;77,915;6,1;1419,999957;6,76892185;5,669650078;9,079999924;6964,33;10645,46;65131,52
Belize;BLZ;Latin America & Caribbean;Upper middle income;2018;74,496;6,7;629,9999952;5,81922674;7,472270012;6,644000053;19315,44;19711,3;65346,14
Iceland;ISL;Europe & Central Asia;High income;2018;82,86097561;2,5;1700,000048;8,44292068;7,561709881;2,700000048;6652,81;3307,38;65972,43
Vanuatu;VUT;East Asia & Pacific;Lower middle income;2017;70,172;12,3;170,0000018;2,7629149;4,533530235;1,745000005;12256,16;26047,19;66130,73
Barbados;BRB;Latin America & Caribbean;High income;2007;78,097;5,3;1480,000019;6,05583191;5,220389843;7,409999847;6779,7;10247,96;66995,57
Belize;BLZ;Latin America & Caribbean;Upper middle income;2019;74,623;6,8;639,9999857;5,96689224;7,138390064;6,710999966;19723,08;19774,97;67569,35
Barbados;BRB;Latin America & Caribbean;High income;2008;78,184;4,9;1779,999971;6,47676373;4,922599792;8,119999886;6842,6;9951,88;67617,69
Barbados;BRB;Latin America & Caribbean;High income;2009;78,272;4,5;4619,999886;7,1486845;5,116179943;10,02000046;6640,9;9831,28;68062,31
Barbados;BRB;Latin America & Caribbean;High income;2010;78,364;4,3;1549,999952;6,77398682;6,054399967;10,68999958;6718,24;9848,53;69104,12
Vanuatu;VUT;East Asia & Pacific;Lower middle income;2019;70,474;12,4;209,9999934;3,36034679;1,777879953;1,800999999;12484,18;26032,56;69213,56
Barbados;BRB;Latin America & Caribbean;High income;2012;78,547;4,4;2119,999886;7,77819967;5,262740135;11,59000015;6757,48;9468,91;70950,09
Barbados;BRB;Latin America & Caribbean;High income;2013;78,633;4,4;1440,000057;7,49560881;5,148990154;11,55000019;6801,89;9382,96;72466,86
Barbados;BRB;Latin America & Caribbean;High income;2014;78,717;4,4;1269,999981;6,99789667;6,143499851;12,17000008;6751,68;9446,95;74081,35
Barbados;BRB;Latin America & Caribbean;High income;2015;78,801;4,3;1269,999981;6,7748456;5,382918835;9,800000191;6828,34;9446,81;75435,55
Barbados;BRB;Latin America & Caribbean;High income;2016;78,888;4,4;1289,999962;6,68155098;4,707320213;8,25;6904,85;9427,94;76840,72
Barbados;BRB;Latin America & Caribbean;High income;2017;78,981;4,3;1179,999948;6,62216997;4,366380215;8,619999886;7014,9;9410,52;78355,59
Barbados;BRB;Latin America & Caribbean;High income;2018;79,081;4,1;1240,00001;6,56259155;5,428860188;8,319999695;7027,68;9427,51;80292,08
Barbados;BRB;Latin America & Caribbean;High income;2019;79,19;3,7;1250;6,29990387;3,203989983;8,409999847;7171,56;9497,04;82999,58
Malta;MLT;Middle East & North Africa;High income;2002;78,73902439;2,5;2319,999933;7,70661688;4,143050194;6,900000095;8284,58;5675,98;93219,37
Malta;MLT;Middle East & North Africa;High income;2004;79,25365854;2,5;2599,999905;8,04820728;4,434929848;7,320000172;8514,08;5623,28;94620,48
Malta;MLT;Middle East & North Africa;High income;2007;79,79268293;2,5;2720,000029;8,16883469;5,947500229;6,46999979;8816,52;5432,75;96466,41
Djibouti;DJI;Middle East & North Africa;Lower middle income;2001;57,1;42;380;2,8072207;7,805429935;28,21699905;24412,57;304678,27;97074,22
Malta;MLT;Middle East & North Africa;High income;2008;79,63658537;2,5;2720,000029;7,8633585;5,501210213;5,980000019;8822,52;5517,13;97471,07
Malta;MLT;Middle East & North Africa;High income;2009;80,24146341;2,5;2509,99999;7,9238286;5,070390224;6,889999866;8779,58;5493,62;98315,14
Malta;MLT;Middle East & North Africa;High income;2010;81,39756098;2,5;2589,999914;7,95211124;6,250040054;6,849999905;8800,89;5472,77;99017,54
Malta;MLT;Middle East & North Africa;High income;2011;80,74634146;2,5;2569,999933;8,4481411;7,696129799;6,380000114;8854,52;5508,92;100342,54
Malta;MLT;Middle East & North Africa;High income;2012;80,74634146;2,5;2720,000029;8,37802982;6,345459938;6,199999809;8873,48;5540,22;101312,91
Djibouti;DJI;Middle East & North Africa;Lower middle income;2002;57,235;40,8;400,000006;3,58787632;8,447600365;28,08300018;25570,56;311078,67;101464,22
Malta;MLT;Middle East & North Africa;High income;2013;81,74634146;2,5;2369,999886;8,49665737;7,579239845;6,110000134;8893,11;5583,13;101898,04
Malta;MLT;Middle East & North Africa;High income;2014;82,04634146;2,5;2359,999895;9,08505249;7,004209995;5,71999979;8871,45;5577,96;102786,46
Malta;MLT;Middle East & North Africa;High income;2015;81,89756098;2,5;1659,999967;8,89759541;5,023980141;5,380000114;8838,27;5607;102832,16
Malta;MLT;Middle East & North Africa;High income;2016;82,45365854;2,5;1350,000024;8,94369507;5,084459782;4,690000057;9011,72;5676,47;104383,91
Djibouti;DJI;Middle East & North Africa;Lower middle income;2003;57,427;38,2;409,9999964;3,97685766;8,889849663;27,9640007;25611;314828,97;104942,24
Malta;MLT;Middle East & North Africa;High income;2017;82,34634146;2,5;1519,999981;8,89494133;4,651629925;4;9155,35;5663,39;105545,35
Luxembourg;LUX;Europe & Central Asia;High income;2001;77,82439024;2,5;9120;6,410923;3,539730072;1,809999943;12963,49;5467,01;107770,41
Djibouti;DJI;Middle East & North Africa;Lower middle income;2004;57,682;34,7;400,000006;3,32442927;9,264670372;27,84700012;31210,03;310494,73;111929,31
Djibouti;DJI;Middle East & North Africa;Lower middle income;2005;57,991;31,3;430,0000072;3,22467232;8,365889549;27,71999931;28409,67;310769,59;115615,6
Luxembourg;LUX;Europe & Central Asia;High income;2012;81,39268293;2,5;10689,99958;5,58377266;3,87816;5,139999866;12450,03;5433,91;116055,94
Luxembourg;LUX;Europe & Central Asia;High income;2014;82,22926829;2,5;9649,999619;5,43687868;3,855690002;5,849999905;12946,22;5585,82;119189,55
Djibouti;DJI;Middle East & North Africa;Lower middle income;2006;58,34;27,3;430,0000072;3,48426819;8,278779984;27,5739994;36199,47;310926,56;119405,57
Luxembourg;LUX;Europe & Central Asia;High income;2015;82,29268293;2,5;9130,000114;5,28378248;3,767920017;6,670000076;13319,92;5695,83;120553,41
Djibouti;DJI;Middle East & North Africa;Lower middle income;2007;58,719;25,1;469,9999988;3,41498637;8,40625;27,44400024;30021,41;308370,02;124591,38
Luxembourg;LUX;Europe & Central Asia;High income;2017;82,09512195;2,5;9000;5,25779152;3,48645997;5,519999981;13925,35;5850,54;124727,52
Suriname;SUR;Latin America & Caribbean;Upper middle income;2015;71,249;7,8;2720,000029;6,21926689;5,534684658;7,21999979;23702,96;37633,82;126877,98
Luxembourg;LUX;Europe & Central Asia;High income;2018;82,29512195;2,5;9319,999695;5,28587103;3,647490025;5,590000153;14252,82;5939,56;128034,31
Suriname;SUR;Latin America & Caribbean;Upper middle income;2016;71,358;8,3;2950,000048;6,35384083;5,640516758;7,920000076;24120,74;36615,53;129944,63
Suriname;SUR;Latin America & Caribbean;Upper middle income;2017;71,463;8,3;2500;5,9441762;5,458669662;7,903999805;24127,6;35739,78;132615,74
Suriname;SUR;Latin America & Caribbean;Upper middle income;2018;71,57;8;2210,000038;7,8974061;4,922540188;7,926000118;24113,96;34944,94;134940,36
Suriname;SUR;Latin America & Caribbean;Upper middle income;2019;71,682;8;2650,000095;9,7369957;6,832258701;8,039999962;24146,61;34225,86;136846,29
Djibouti;DJI;Middle East & North Africa;Lower middle income;2010;60,062;22,4;519,9999809;3,06150365;4,49022007;27,05800056;32076,62;307613,45;138892,23
Solomon Islands;SLB;East Asia & Pacific;Lower middle income;2008;70,063;13,2;319,9999928;5,68918657;7,656330109;1,893000007;33751,78;111396,9;140810,47
Solomon Islands;SLB;East Asia & Pacific;Lower middle income;2007;69,762;12,6;340,0000036;7,17948914;8,2208004;1,876999974;37628,81;107135,34;141602,73
Solomon Islands;SLB;East Asia & Pacific;Lower middle income;2009;70,366;13;330,0000131;7,03139544;7,288499832;2,019999981;36029,76;108078,97;145928,68
Solomon Islands;SLB;East Asia & Pacific;Lower middle income;2010;70,674;13,7;340,0000036;8,38949013;7,931739807;1,577999949;35120,1;107162,61;148553,19
Solomon Islands;SLB;East Asia & Pacific;Lower middle income;2011;70,985;14,7;349,999994;6,01607323;8,125189781;1,297000051;35854,57;101426,83;154455,51
Solomon Islands;SLB;East Asia & Pacific;Lower middle income;2012;71,296;16,5;349,999994;4,99881887;8,087030411;1,054999948;36013,07;98601,36;158281,02
Djibouti;DJI;Middle East & North Africa;Lower middle income;2015;64,136;14,2;460,0000083;3,07556486;3,590240002;26,32500076;34730,9;281206,35;159849,74
Solomon Islands;SLB;East Asia & Pacific;Lower middle income;2013;71,601;18;389,9999857;4,7872014;10,17469978;0,689999998;37166;96097,43;162390,17
Djibouti;DJI;Middle East & North Africa;Lower middle income;2016;65,064;13,6;419,9999869;2,7274003;3,924390078;26,19300079;33453,84;272081,02;164595,32
Solomon Islands;SLB;East Asia & Pacific;Lower middle income;2014;71,896;18,7;340,0000036;5,06938744;9,812000275;0,73299998;39869,95;92632,03;166812,58
Guyana;GUY;Latin America & Caribbean;Upper middle income;2001;65,532;6,5;1640;3,05506778;8,397299767;11,81499958;48943,83;105443,35;169977,36
Djibouti;DJI;Middle East & North Africa;Lower middle income;2017;65,893;13,5;419,9999869;2,46476841;3,748559952;26,05999947;34283,22;261281,81;170428,77
Solomon Islands;SLB;East Asia & Pacific;Lower middle income;2015;72,173;18,5;310,0000024;4,63923359;10,13490009;0,734000027;38199,75;89797,41;170833,72
Guyana;GUY;Latin America & Caribbean;Upper middle income;2002;65,828;6,5;1620,000005;3,19353795;8,365539551;11,81000042;50078,11;102838,46;172268,05
Guyana;GUY;Latin America & Caribbean;Upper middle income;2003;66,122;6,8;1620,000005;3,26884198;6,955900192;11,5539999;50892,97;97495,06;172736,75
Solomon Islands;SLB;East Asia & Pacific;Lower middle income;2016;72,424;18,1;360,0000143;4,51225424;12;0,698000014;37673,62;89703,51;173317,16
Guyana;GUY;Latin America & Caribbean;Upper middle income;2004;66,412;6,9;1669,999957;3,43770432;5,51293993;11,2670002;50018;93996,77;174445,11
Guyana;GUY;Latin America & Caribbean;Upper middle income;2006;66,972;7,1;1330,000043;3,93144441;3,118910074;10,69999981;50572,66;84413,62;174529,92
Guyana;GUY;Latin America & Caribbean;Upper middle income;2005;66,694;7,1;1480,000019;3,79409742;8,139730453;11,02299976;52305;90967,8;174664,72
Djibouti;DJI;Middle East & North Africa;Lower middle income;2018;66,582;13,1;400,000006;2,26254249;3,627739906;26,18899918;35176,17;250590,33;176511,42
Guyana;GUY;Latin America & Caribbean;Upper middle income;2007;67,247;7,5;1610,000014;4,28126192;2,391170025;10,95699978;48944,56;80035,65;176903,31
Solomon Islands;SLB;East Asia & Pacific;Lower middle income;2017;72,645;17,7;349,999994;4,22589684;12,10999966;0,707000017;38268,3;87626,32;177283,57
Guyana;GUY;Latin America & Caribbean;Upper middle income;2009;67,792;8,4;1629,999995;4,35117102;2,150579929;11,52600002;47118,6;74233,42;177896,09
Eswatini;SWZ;Sub-Saharan Africa;Lower middle income;2001;45,799;10,5;610;5,13895321;4,838240147;24,82900047;65303,13;725190,42;180150,72
Guyana;GUY;Latin America & Caribbean;Upper middle income;2010;68,059;8,7;1759,99999;4,21897697;2,409389973;11,79800034;48720,51;72800,95;181095,86
Guyana;GUY;Latin America & Caribbean;Upper middle income;2011;68,321;8,6;1830,000043;4,17213488;2,506690025;12,05700016;49185,93;73723,47;181919,06
Solomon Islands;SLB;East Asia & Pacific;Lower middle income;2018;72,835;17,6;360,0000143;3,99611521;10,81000042;0,723999977;38719,44;84584,86;182729,07
Guyana;GUY;Latin America & Caribbean;Upper middle income;2012;68,575;8;2000;3,7081871;2,241319895;12,33500004;49741,75;72925,31;185105,01
Solomon Islands;SLB;East Asia & Pacific;Lower middle income;2019;72,996;17,8;360,0000143;4,77362394;11,13000011;0,754999995;38972,32;83840,79;186451,86
Eswatini;SWZ;Sub-Saharan Africa;Lower middle income;2002;44,41;9,7;620,0000048;5,5229826;4,440869808;25,36100006;66442,65;777525,31;188813,34
Guyana;GUY;Latin America & Caribbean;Upper middle income;2014;69,049;7;2059,999943;3,94755459;4,360330105;12,92399979;50618,3;66555,36;189322,1
Guyana;GUY;Latin America & Caribbean;Upper middle income;2015;69,262;6,8;2079,999924;4,02264786;3,895699978;13,21199989;49234,69;63710,69;189779,15
Guyana;GUY;Latin America & Caribbean;Upper middle income;2016;69,454;6,4;2480,000019;4,01842117;4,737750053;13,46399975;49089,28;62786,04;191758,28
Guyana;GUY;Latin America & Caribbean;Upper middle income;2017;69,624;6,1;2470,000029;4,31911182;4,66478014;13,74600029;49500,19;62926,95;195117,89
Eswatini;SWZ;Sub-Saharan Africa;Lower middle income;2003;43,372;8,3;629,9999952;6,37864399;5,816770077;25,94400024;68970,61;829308,94;195241,76
Cyprus;CYP;Europe & Central Asia;High income;2001;78,139;5,1;6990;5,33940458;5,11552;3,980000019;27840,44;11278,33;197749,38
Fiji;FJI;East Asia & Pacific;Upper middle income;2001;65,863;4;1040;2,90547323;5,643109798;3,907000065;27085,27;60694,54;197751,12
Fiji;FJI;East Asia & Pacific;Upper middle income;2002;66,022;3,8;879,9999952;2,983495;6,275869846;3,872999907;26621,07;60186,83;197961,34
Guyana;GUY;Latin America & Caribbean;Upper middle income;2018;69,774;5,4;2589,999914;4,90492487;4,45058012;14,02000046;49707,08;61099,04;198626,46
Eswatini;SWZ;Sub-Saharan Africa;Lower middle income;2004;42,731;8,4;629,9999952;6,81432486;5,401609898;26,52300072;71871,57;866754,52;199279,46
Eswatini;SWZ;Sub-Saharan Africa;Lower middle income;2011;48,141;19,3;660,0000262;8,46997261;6,864329815;25,81100082;71381,46;606333,78;199356,74
Eswatini;SWZ;Sub-Saharan Africa;Lower middle income;2014;53,569;12,7;750;7,25702429;7,070590019;23,9659996;70299,66;487089,16;199556,33
Eswatini;SWZ;Sub-Saharan Africa;Lower middle income;2015;55,359;12,8;769,9999809;7,05950689;5,355750084;23,32900047;69806,37;448878,94;199981,93
Eswatini;SWZ;Sub-Saharan Africa;Lower middle income;2016;56,962;13;839,9999738;6,82044792;5,414669991;22,71999931;68127,26;417776,24;200407,52
Cyprus;CYP;Europe & Central Asia;High income;2002;78,264;5,7;7170,000076;5,61565971;5,581669807;3,299999952;27941,92;11030,92;200501,06
Eswatini;SWZ;Sub-Saharan Africa;Lower middle income;2006;42,733;10,2;649,9999762;7,82560015;6,554759979;27,63999939;71455,83;826069,19;200954,49
Eswatini;SWZ;Sub-Saharan Africa;Lower middle income;2010;46,601;17,6;649,9999762;8,59125805;6,118370056;26,40600014;72061,52;675840,86;201230,17
Eswatini;SWZ;Sub-Saharan Africa;Lower middle income;2005;42,518;9,2;660,0000262;7,37623358;6,484620094;27,06500053;71512,25;861519,88;201412,21
Eswatini;SWZ;Sub-Saharan Africa;Lower middle income;2017;58,319;12,4;889,9999857;6,98103666;6,138090134;22,75300026;68254,91;392042,64;201967,46
Eswatini;SWZ;Sub-Saharan Africa;Lower middle income;2008;44,17;10,9;629,9999952;8,85792923;6,618120193;27,67900085;72788;776399,29;202241,09
Fiji;FJI;East Asia & Pacific;Upper middle income;2004;66,247;3,8;1470,000029;3,25768542;6,209159851;3,811000109;26720,75;60441,39;202382,39
Eswatini;SWZ;Sub-Saharan Africa;Lower middle income;2009;45,275;15;699,9999881;8,63292217;6,471350193;27,05200005;72787,43;743931,8;202749,06
Cyprus;CYP;Europe & Central Asia;High income;2003;78,385;6,1;7829,999924;5,63568783;6,670229912;4,139999866;27480,54;10872,12;203214,75
Eswatini;SWZ;Sub-Saharan Africa;Lower middle income;2018;59,401;11,8;910,0000262;7,2573719;5,679160118;22,79199982;68271,65;371374,33;204483,34
Cyprus;CYP;Europe & Central Asia;High income;2004;78,506;6,9;7780,00021;5,40558147;6,117720127;4,329999924;27841,12;10780,86;207558,98
Eswatini;SWZ;Sub-Saharan Africa;Lower middle income;2019;60,194;11,1;959,9999785;6,78069067;5,645549774;22,83699989;68250,79;360728,37;207847,38
Fiji;FJI;East Asia & Pacific;Upper middle income;2005;66,313;3,7;1289,999962;3,25656676;5,167059898;3,890000105;26104,33;59490,89;208811,06
Cyprus;CYP;Europe & Central Asia;High income;2005;78,63;7,6;7900,000095;5,43580961;6,286670208;5,300000191;29343,02;10822,5;213014,06
Fiji;FJI;East Asia & Pacific;Upper middle income;2006;66,362;3,7;1379,999995;3,34798169;5,655320168;3,959000111;26348,48;58987,17;214385,19
Cyprus;CYP;Europe & Central Asia;High income;2006;78,764;7,5;8000;5,46357489;6,330269814;4,539999962;27704,72;10722,69;218437
Fiji;FJI;East Asia & Pacific;Upper middle income;2007;66,413;3,7;1259,99999;3,41514993;5,894720078;4,107999802;26420,36;57758,4;220224,38
Cyprus;CYP;Europe & Central Asia;High income;2007;78,91;6,9;8310,00042;5,35744858;6,280829906;3,920000076;27914,24;10669,77;223212,17
